Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,46.05352228,36.794418113333336,9.259104163333333,2.160390279,1.7261049946666667,0.43428528433333335
2,45.52574725,37.18404030333333,8.341706947,2.399658327,1.9600306626666668,0.43962766466666664
3,36.24924508333333,29.82712189,6.422123191333333,1.8863219706666665,1.5521390843333336,0.3341828866666667
4,30.190986613333333,24.769169946666665,5.421816667000001,1.8421252176666665,1.5112985506666667,0.33082666666666666
5,25.644963176666664,20.761035266666667,4.883927912000001,1.144538363,0.9266257466666667,0.217912616
6,30.719148333333333,24.96217962333333,5.756968711333333,1.440644516,1.1706018966666667,0.27004261933333334
7,46.64230506333333,37.59772700333334,9.044578057666667,2.4315294890000003,1.960062737,0.47146675166666663
8,47.22782611333333,38.500423633333334,8.727402482,2.2787696263333337,1.8578123843333332,0.42095724233333337
9,11.645574656666668,9.908003429333334,1.7375712276666668,0.710390222,0.6041745183333332,0.10621570366666666
10,57.242156515000005,45.11743887,12.124717645,2.6570639135,2.096794187,0.5602697265000001
11,19.085622439999998,16.14682197,2.938800468666667,1.0873197866666666,0.9199070826666667,0.1674127036666667
12,28.697567453333335,24.11220359666667,4.58536386,1.601791885,1.3458531033333336,0.25593878200000003
13,7.806609920666666,6.9093458456666665,0.8972640743333332,0.390269422,0.34527536333333336,0.04499405866666667
14,53.01166049666667,43.22043023333333,9.791230262333334,2.555521450666667,2.083746405,0.4717750453333333
15,8.678608537,7.602073361666666,1.0765351753333334,0.4609417656666667,0.4037522713333333,0.05718949466666667
16,32.22016929666666,26.549036806666663,5.671132489333334,1.811610164,1.4933782023333333,0.3182319616666667
17,33.00017684,27.352090259999997,5.648086580999999,1.7943211534999999,1.4872173075,0.307103846
18,32.72204224,27.06629569333333,5.655746543999999,1.7798156943333332,1.4722148710000003,0.30760082333333333
19,35.488711263333336,29.371669300000004,6.117041961999999,1.8953661876666665,1.568563876,0.3268023116666667
20,44.67426375333333,37.017221946666666,7.657041805333333,2.3851107020000004,1.976456,0.40865470233333334
21,26.69702357,22.37756557,4.319458002,1.3484264323333335,1.1301607240000002,0.218265708
22,35.037729203333335,29.509147783333333,5.528581421666666,1.91729791,1.614744644,0.30255326600000004
23,25.48413069,21.685669596666667,3.7984610913333334,1.3856505983333334,1.179116581,0.20653401733333335
24,41.74339204333333,34.24368678,7.499705265333333,2.278297473333333,1.8691776666666666,0.409119807
25,50.350142655,42.437973635,7.9121690125,2.3148172025,1.9510067635000001,0.363810439
26,40.363155785000004,33.932324165,6.430831624,2.1575672729999997,1.8138343104999999,0.34373296249999996
27,47.84454505,39.72534012333333,8.119204923333333,2.430293183333333,2.017816669666667,0.41247651366666666
28,55.235288014999995,45.59085615,9.6444318695,2.5602008745,2.113173552,0.447027322
29,48.35992706333334,40.32876219,8.031164870666666,2.4143674086666667,2.013780246,0.4005871623333333
30,39.6042206,33.015429956666665,6.588790644,2.1538251616666666,1.795326564,0.35849859766666664
31,26.379995753333333,22.142661103333335,4.237334653666666,1.3386871366666666,1.1242288953333333,0.214458241
32,33.70806787333333,28.632362673333333,5.075705202333333,1.8315628980000003,1.5562293150000002,0.2753335826666667
33,36.597046363333334,29.851073226666667,6.745973136,1.8589291746666667,1.5163379423333332,0.34259123233333333
34,25.73783059333333,21.590192793333333,4.147637798333332,1.331848908,1.117227649,0.21462125833333334
35,41.28433818333333,34.24904702333333,7.035291158666666,2.2182941510000003,1.840236634,0.37805751633333334
36,36.85378793333333,30.67110891,6.182679021999999,1.8612010536666668,1.5489011789999998,0.31229987433333334
37,30.496342929999997,25.59601047,4.900332461,1.55280195,1.3033415305,0.24946042
38,42.75473501,35.669485116666664,7.0852498960000005,2.1166176203333333,1.7647122343333332,0.3519053853333334
39,46.85582199666667,39.51641162333333,7.339410373,2.5976500216666665,2.190758867,0.4068911546666667
40,32.21103173,26.72454630333333,5.486485424333334,1.774847235,1.4725717296666667,0.3022755053333333
41,32.63164744666667,27.535460143333335,5.09618731,1.8867462143333331,1.591694819,0.29505139566666666
42,29.735523016666665,25.15242586333333,4.583097152333333,1.705304081333333,1.4423023186666668,0.263001763
43,28.881680069999998,23.53890893,5.342771136333334,1.7012512963333333,1.3865398150000001,0.3147114813333334
44,28.14873971333333,23.59112023,4.557619485333333,1.493273769,1.2514522766666667,0.24182149233333336
45,39.816509870000004,32.00364999333333,7.812859871333334,1.9094232783333334,1.534775901333333,0.3746473766666667
46,40.617806699999996,33.498059463333334,7.119747235333333,2.0026424003333334,1.651668830666667,0.35097357
47,30.390584203333333,25.505178689999997,4.885405516,1.5623493536666668,1.3111778086666666,0.251171545
48,35.236960536666665,29.817331983333332,5.4196285553333325,1.8221257193333333,1.5416729166666665,0.2804528026666666
49,53.63236424666667,44.12438754000001,9.507976704333332,2.555885943333333,2.102636392,0.453249552
50,49.99226144,40.64701610333333,9.345245338,2.2675524473333337,1.8439777363333334,0.4235747113333333
51,41.1904836,33.98767301333333,7.202810591666666,2.019795648,1.666962081,0.35283356633333335
52,56.1250446,45.70257558666666,10.422469013333334,2.752356904666667,2.2412371863333336,0.5111197183333333
53,33.216668633333335,28.003901503333335,5.212767128,1.7720495183333334,1.4937521066666666,0.27829741166666666
54,21.896234466666666,18.772535426666668,3.1236990403333333,1.1469898226666668,0.9832712436666666,0.16371857866666667
55,40.088703403333334,32.54188771666667,7.546815684666666,2.04105815,1.6561144866666666,0.3849436636666666
56,30.099368873333333,25.025650576666667,5.073718296333333,1.6473385766666666,1.3698233469999999,0.2775152296666667
57,33.48194572,27.44013581333333,6.041809908,1.8567956436666666,1.5218010056666669,0.3349946386666667
58,19.290633716666665,16.32299482333333,2.967638898666667,1.1248096273333335,0.9517150193333332,0.17309460799999998
59,23.154841903333335,19.45983825,3.695003654666667,1.2338915693333334,1.036972181,0.19691938799999997
60,22.722344043333333,19.153810726666666,3.568533320666667,1.3116039163333333,1.1055928510000002,0.206011065
61,32.2781181,27.03072159,5.2473965090000005,2.124196618333333,1.7789708006666665,0.34522581733333335
62,36.43375068,30.554606113333335,5.879144561666666,2.194234679,1.8398079876666664,0.3544266913333334
63,27.771953816666667,23.248922843333332,4.523030974666667,1.4813044700000002,1.2400296456666666,0.241274824
64,31.823972554999997,26.503197285,5.3207752705,1.552951952,1.2929806190000002,0.2599713335
65,22.93712952,19.954233573333333,2.982895947,1.3591932460000002,1.1833585303333332,0.1758347153333333
66,25.93694874666667,22.046753593333335,3.8901951539999993,1.594494883,1.3559240803333334,0.23857080266666666
67,22.710109799999998,18.667532793333333,4.042577004333333,1.2761926366666667,1.049020671,0.22717196566666667
68,27.260446580000004,22.83199170333333,4.428454882,1.521119043,1.274051592,0.24706745100000002
69,39.11447659,31.85133888333333,7.2631377079999995,2.0383435193333335,1.659822061,0.378521458
70,24.163435586666665,20.676403133333334,3.487032452,1.3765475933333333,1.1776940286666668,0.19885356466666668
71,25.354178556666668,21.532827176666668,3.8213513789999998,1.546585849333333,1.3140166536666669,0.23256919566666667
72,42.07880031333334,35.26068237,6.818117941000001,2.2305253746666662,1.8692223446666667,0.36130302999999997
73,47.33927361333334,38.94196474333333,8.397308875666667,2.49408011,2.0534571776666666,0.44062293266666663
74,45.68081551,38.18678487666667,7.494030636999999,2.3975049866666667,2.0039383903333334,0.3935665963333333
75,34.804096423333334,29.083479913333335,5.720616507,1.8552466570000001,1.550492366,0.304754291
76,60.6085591,49.21464714333334,11.393911956666665,2.9378339023333333,2.385446331666667,0.5523875706666667
77,32.00766468,26.935156759999998,5.072507918666667,1.459849754333333,1.228374741,0.23147501299999998
78,27.963421436666664,23.74746489,4.215956552333333,1.6925234500000002,1.4385727,0.25395075
79,38.40777314,32.192099533333334,6.215673606666667,1.951386827,1.6356285779999997,0.315758249
80,35.88310737,29.689767593333332,6.1933397779999995,2.0569553446666666,1.7018487443333334,0.3551066
81,12.013623823333333,10.445002476666668,1.568621348,0.649462577,0.5647379343333333,0.08472464233333332
82,33.12401971333333,28.159477496666668,4.964542217666668,1.7341054873333335,1.4745329466666668,0.259572541
83,39.386737716666666,33.572145593333325,5.814592126333333,2.0003235343333334,1.7051839976666665,0.2951395366666667
84,34.630338040000005,28.975801873333335,5.654536166333333,1.8625383013333332,1.5580497826666668,0.30448851866666665
85,33.59011734333333,28.54440436,5.045712983333334,1.9969328419999999,1.6968924026666665,0.3000404396666667
86,28.763965323333334,24.231417949999997,4.532547373666667,1.5451334589999999,1.3020493899999999,0.24308406933333337
87,30.462288873333335,25.931080776666665,4.531208098333333,1.6153545713333333,1.3750218773333334,0.24033269366666668
88,37.46214425666667,31.237164886666665,6.224979368666666,1.9269131776666668,1.6074749173333334,0.3194382603333334
89,23.392959373333337,19.99880219666667,3.394157176,1.3078162803333333,1.1175221223333334,0.19029415833333332
90,36.10388185333333,30.265692076666667,5.838189777666667,1.824430629,1.5292288066666666,0.29520182266666667
91,34.33071451666667,29.16835883666667,5.162355678333333,1.9058563499999999,1.619076681,0.2867796693333334
92,33.22605927666667,28.404593146666667,4.821466129,1.8298956913333333,1.5644256360000002,0.26547005533333334
93,32.46691031333333,27.041575690000002,5.425334622333334,1.8863491799999998,1.5713717613333333,0.3149774183333333
94,24.844353276666666,21.45322047,3.391132803666667,1.4569906253333331,1.2576317576666665,0.19935886766666666
95,11.681826256333332,9.960709875666668,1.7211163773333331,0.7009727839999998,0.5967462393333334,0.10422654499999999
96,23.457846630000002,19.73766397333333,3.720182657,1.2667852526666665,1.066217268,0.20056798466666667
97,27.24069856,22.753199249999998,4.487499312333333,1.5211648199999999,1.2706202906666668,0.25054452833333335
98,26.70068928666667,22.656543506666665,4.04414578,1.489324401,1.2639724146666667,0.22535198599999998
99,25.939408803333336,21.90878152666667,4.030627274333333,1.4461000853333335,1.221942014,0.22415807133333332
100,22.097378823333333,17.48073062666667,4.616648196666667,1.4106483333333333,1.1166693533333334,0.29397898
